"","qseqid","Organism","seq_percID","top_perc","diff"
"44","ASV_0071","Limanda aspera",99.398,99.398,0
"45","ASV_0072","Gasterosteus aculeatus",98.225,98.225,0
"46","ASV_0074","Gadus macrocephalus",99.408,99.408,0
"47","ASV_0076","Oncorhynchus keta",98.817,98.817,0
"48","ASV_0077","Clupea pallasii",99.419,99.419,0
"49","ASV_0078","Oncorhynchus gorbuscha",99.412,99.412,0
"50","ASV_0080","Pholis laeta",99.405,99.405,0
"51","ASV_0081","Cymatogaster aggregata",99.405,99.405,0
"52","ASV_0083","Oncorhynchus kisutch",99.412,99.412,0
"53","ASV_0084","Clupea pallasii",100,100,0
"54","ASV_0086","Clupea pallasii",99.419,99.419,0
"55","ASV_0087","Clupea pallasii",99.419,99.419,0
"56","ASV_0091","Oncorhynchus nerka",99.412,99.412,0
"57","ASV_0092","Cymatogaster aggregata",98.81,98.81,0
"58","ASV_0093","Cymatogaster aggregata",99.405,99.405,0
"59","ASV_0095","Lepidopsetta bilineata",99.408,99.408,0
"60","ASV_0097","Blepsias cirrhosus",99.408,99.408,0
"61","ASV_0098","Clupea pallasii",99.419,99.419,0
"62","ASV_0099","Oncorhynchus gorbuscha",99.412,99.412,0
"63","ASV_0101","Eleginus gracilis",98.83,98.83,0
"64","ASV_0104","Pholis laeta",99.405,99.405,0
"65","ASV_0106","Lumpenus sagitta",100,100,0
"66","ASV_0108","Ammodytes personatus",99.408,99.408,0
"67","ASV_0109","Clupea pallasii",99.419,99.419,0
"68","ASV_0110","Syngnathus leptorhynchus",99.401,99.401,0
"69","ASV_0114","Gasterosteus aculeatus",98.817,98.817,0
"70","ASV_0115","Oncorhynchus gorbuscha",99.412,99.412,0
"71","ASV_0116","Clupea pallasii",99.419,99.419,0
"72","ASV_0118","Oncorhynchus gorbuscha",99.412,99.412,0
"73","ASV_0120","Clupea pallasii",99.419,99.419,0
"74","ASV_0121","Clupea pallasii",99.419,99.419,0
"75","ASV_0122","Ammodytes personatus",99.408,99.408,0
"76","ASV_0124","Clupea pallasii",99.419,99.419,0
"77","ASV_0125","Sebastes flavidus",99.405,99.405,0
"78","ASV_0128","Sebastes flavidus",99.405,99.405,0
"79","ASV_0129","Oncorhynchus keta",99.408,99.408,0
"80","ASV_0131","Oncorhynchus gorbuscha",99.412,99.412,0
"81","ASV_0133","Oncorhynchus kisutch",99.412,99.412,0
"82","ASV_0134","Cymatogaster aggregata",99.405,99.405,0
"83","ASV_0136","Clupea pallasii",98.837,98.837,0
"84","ASV_0138","Gasterosteus aculeatus",99.408,99.408,0
"85","ASV_0141","Ammodytes personatus",99.408,99.408,0
"86","ASV_0142","Gasterosteus aculeatus",99.408,99.408,0
"87","ASV_0143","Oncorhynchus gorbuscha",99.412,99.412,0
"88","ASV_0145","Pholis laeta",99.405,99.405,0
"89","ASV_0147","Ammodytes personatus",99.408,99.408,0
"90","ASV_0148","Gadus macrocephalus",98.824,98.824,0
"91","ASV_0149","Gadus macrocephalus",99.412,99.412,0
"92","ASV_0150","Oncorhynchus gorbuscha",98.824,98.824,0
"93","ASV_0151","Lumpenus sagitta",99.408,99.408,0
"94","ASV_0152","Gasterosteus aculeatus",99.408,99.408,0
"95","ASV_0154","Hexagrammos stelleri",98.235,98.235,0
"96","ASV_0155","Limanda aspera",98.817,98.817,0
"97","ASV_0157","Oncorhynchus kisutch",99.412,99.412,0
"98","ASV_0159","Gadus macrocephalus",98.83,98.83,0
"99","ASV_0161","Gadus macrocephalus",98.235,98.235,0
"100","ASV_0164","Clupea pallasii",99.419,99.419,0
"101","ASV_0166","Lumpenus sagitta",99.408,99.408,0
"102","ASV_0167","Pholis laeta",99.405,99.405,0
"103","ASV_0168","Sebastes auriculatus",99.405,99.405,0
"104","ASV_0169","Leptocottus armatus",98.235,98.235,0
"105","ASV_0171","Oncorhynchus keta",99.408,99.408,0
"106","ASV_0172","Oncorhynchus keta",99.408,99.408,0
"107","ASV_0173","Clupea pallasii",99.419,99.419,0
"108","ASV_0175","Lepidopsetta bilineata",98.817,98.817,0
"109","ASV_0176","Sebastes caurinus",99.405,99.405,0
"110","ASV_0178","Clupea pallasii",99.419,99.419,0
"111","ASV_0179","Ammodytes personatus",99.408,99.408,0
"112","ASV_0180","Sebastes caurinus",99.405,99.405,0
"113","ASV_0181","Gasterosteus aculeatus",99.408,99.408,0
"114","ASV_0183","Gadus macrocephalus",98.824,98.824,0
"115","ASV_0185","Clupea pallasii",99.419,99.419,0
"116","ASV_0186","Gasterosteus aculeatus",99.408,99.408,0
"117","ASV_0188","Oncorhynchus kisutch",100,100,0
"118","ASV_0189","Lumpenus sagitta",99.408,99.408,0
"119","ASV_0190","Sebastes auriculatus",98.81,98.81,0
"120","ASV_0190","Sebastes flavidus",98.81,98.81,0
"121","ASV_0191","Clupea pallasii",99.419,99.419,0
"122","ASV_0192","Clupea pallasii",99.419,99.419,0
"123","ASV_0196","Syngnathus leptorhynchus",99.401,99.401,0
"124","ASV_0198","Clupea pallasii",99.419,99.419,0
"125","ASV_0199","Gasterosteus aculeatus",99.408,99.408,0
"126","ASV_0200","Clupea pallasii",98.837,98.837,0
"127","ASV_0201","Gadus macrocephalus",98.204,98.204,0
"128","ASV_0202","Leptocottus armatus",98.235,98.235,0
"129","ASV_0203","Ammodytes personatus",99.408,99.408,0
"130","ASV_0206","Pholis laeta",99.405,99.405,0
"131","ASV_0208","Gasterosteus aculeatus",99.408,99.408,0
"132","ASV_0209","Oncorhynchus gorbuscha",99.412,99.412,0
"133","ASV_0211","Gasterosteus aculeatus",99.408,99.408,0
"134","ASV_0215","Pholis laeta",99.405,99.405,0
"135","ASV_0216","Pholis laeta",99.405,99.405,0
"136","ASV_0217","Clupea pallasii",99.419,99.419,0
"137","ASV_0219","Clupea pallasii",99.419,99.419,0
"138","ASV_0223","Clupea pallasii",99.419,99.419,0
"139","ASV_0227","Leptocottus armatus",98.824,98.824,0
"140","ASV_0228","Oncorhynchus tshawytscha",99.412,99.412,0
"141","ASV_0229","Pholis laeta",99.405,99.405,0
"142","ASV_0230","Ammodytes personatus",99.408,99.408,0
"143","ASV_0232","Clupea pallasii",99.419,99.419,0
"144","ASV_0233","Clupea pallasii",99.419,99.419,0
"145","ASV_0235","Cymatogaster aggregata",99.398,99.398,0
"146","ASV_0236","Pholis laeta",99.405,99.405,0
"147","ASV_0237","Ammodytes personatus",99.408,99.408,0
"148","ASV_0239","Gasterosteus aculeatus",100,100,0
"149","ASV_0240","Oncorhynchus kisutch",99.412,99.412,0
"150","ASV_0241","Oncorhynchus gorbuscha",99.412,99.412,0
"151","ASV_0242","Pholis laeta",99.405,99.405,0
"152","ASV_0248","Hexagrammos stelleri",99.412,99.412,0
"153","ASV_0249","Oncorhynchus nerka",98.824,98.824,0
"154","ASV_0250","Pholis laeta",99.405,99.405,0
"155","ASV_0251","Oncorhynchus nerka",99.412,99.412,0
"156","ASV_0252","Gasterosteus aculeatus",98.817,98.817,0
"157","ASV_0257","Pholis laeta",99.405,99.405,0
"158","ASV_0259","Hexagrammos stelleri",99.412,99.412,0
"159","ASV_0260","Leptocottus armatus",99.412,99.412,0
"160","ASV_0261","Gadus macrocephalus",98.824,98.824,0
"161","ASV_0263","Oncorhynchus gorbuscha",98.824,98.824,0
"162","ASV_0265","Cymatogaster aggregata",99.405,99.405,0
"163","ASV_0266","Pholis laeta",99.405,99.405,0
"164","ASV_0267","Oncorhynchus gorbuscha",98.824,98.824,0
"165","ASV_0268","Gasterosteus aculeatus",99.408,99.408,0
"166","ASV_0269","Clupea pallasii",99.419,99.419,0
"167","ASV_0275","Pholis laeta",99.405,99.405,0
"168","ASV_0276","Cymatogaster aggregata",99.405,99.405,0
"169","ASV_0278","Pholis laeta",99.405,99.405,0
"170","ASV_0282","Clupea pallasii",99.412,99.412,0
"171","ASV_0283","Oncorhynchus keta",99.408,99.408,0
"172","ASV_0284","Pholis laeta",99.405,99.405,0
"173","ASV_0286","Ammodytes personatus",99.408,99.408,0
"174","ASV_0287","Gasterosteus aculeatus",99.408,99.408,0
"175","ASV_0289","Ammodytes personatus",99.408,99.408,0
"176","ASV_0290","Limanda aspera",98.817,98.817,0
"177","ASV_0291","Pholis laeta",99.405,99.405,0
"178","ASV_0292","Gadus macrocephalus",98.83,98.83,0
"179","ASV_0293","Cymatogaster aggregata",99.405,99.405,0
"180","ASV_0294","Syngnathus leptorhynchus",99.401,99.401,0
"181","ASV_0295","Cymatogaster aggregata",99.405,99.405,0
"182","ASV_0299","Cymatogaster aggregata",99.405,99.405,0
"183","ASV_0301","Clupea pallasii",99.419,99.419,0
"184","ASV_0307","Oncorhynchus kisutch",99.412,99.412,0
"185","ASV_0308","Clupea pallasii",98.837,98.837,0
"186","ASV_0310","Clupea pallasii",99.419,99.419,0
"187","ASV_0311","Cymatogaster aggregata",99.405,99.405,0
"188","ASV_0312","Clupea pallasii",99.419,99.419,0
"189","ASV_0314","Clupea pallasii",99.419,99.419,0
"190","ASV_0315","Ammodytes personatus",99.408,99.408,0
"191","ASV_0317","Ammodytes personatus",99.408,99.408,0
"192","ASV_0318","Cymatogaster aggregata",99.405,99.405,0
"193","ASV_0321","Clupea pallasii",99.419,99.419,0
"194","ASV_0322","Cymatogaster aggregata",99.405,99.405,0
"195","ASV_0323","Cymatogaster aggregata",99.405,99.405,0
"196","ASV_0324","Cymatogaster aggregata",98.81,98.81,0
"197","ASV_0326","Clupea pallasii",98.837,98.837,0
"198","ASV_0327","Ammodytes personatus",99.408,99.408,0
"199","ASV_0328","Clupea pallasii",98.837,98.837,0
"200","ASV_0329","Cymatogaster aggregata",99.405,99.405,0
"201","ASV_0330","Sebastes flavidus",99.405,99.405,0
"202","ASV_0331","Ammodytes personatus",99.408,99.408,0
"203","ASV_0332","Sebastes auriculatus",99.405,99.405,0
"204","ASV_0334","Clupea pallasii",98.837,98.837,0
"205","ASV_0338","Oncorhynchus kisutch",99.412,99.412,0
"206","ASV_0339","Clupea pallasii",99.419,99.419,0
"207","ASV_0342","Clupea pallasii",99.419,99.419,0
"208","ASV_0344","Clupea pallasii",99.419,99.419,0
"209","ASV_0346","Leptocottus armatus",99.412,99.412,0
"210","ASV_0347","Lumpenus sagitta",99.408,99.408,0
"211","ASV_0348","Oncorhynchus gorbuscha",99.412,99.412,0
"212","ASV_0350","Cymatogaster aggregata",99.405,99.405,0
"213","ASV_0351","Oncorhynchus keta",99.408,99.408,0
"214","ASV_0353","Clupea pallasii",99.419,99.419,0
"215","ASV_0354","Syngnathus leptorhynchus",99.401,99.401,0
"216","ASV_0355","Cymatogaster aggregata",99.405,99.405,0
"217","ASV_0356","Sebastes caurinus",99.405,99.405,0
"218","ASV_0359","Pholis laeta",99.405,99.405,0
"219","ASV_0360","Ammodytes personatus",99.408,99.408,0
"220","ASV_0364","Clupea pallasii",99.419,99.419,0
"221","ASV_0365","Limanda aspera",98.795,98.795,0
"222","ASV_0366","Cymatogaster aggregata",99.405,99.405,0
"223","ASV_0367","Oncorhynchus keta",99.408,99.408,0
"224","ASV_0371","Gadus macrocephalus",99.408,99.408,0
"225","ASV_0373","Pholis laeta",99.405,99.405,0
"226","ASV_0374","Pholis laeta",99.405,99.405,0
"227","ASV_0375","Cymatogaster aggregata",98.81,98.81,0
"228","ASV_0376","Pholis laeta",99.405,99.405,0
"229","ASV_0377","Pholis laeta",99.405,99.405,0
"230","ASV_0378","Clupea pallasii",99.419,99.419,0
"231","ASV_0380","Ammodytes personatus",99.408,99.408,0
"232","ASV_0381","Clupea pallasii",98.837,98.837,0
"233","ASV_0382","Clupea pallasii",99.419,99.419,0
"234","ASV_0383","Cymatogaster aggregata",99.405,99.405,0
"235","ASV_0384","Lumpenus sagitta",99.408,99.408,0
"236","ASV_0385","Leptocottus armatus",99.412,99.412,0
"237","ASV_0386","Clupea pallasii",98.837,98.837,0
"238","ASV_0387","Syngnathus leptorhynchus",99.401,99.401,0
"239","ASV_0388","Clupea pallasii",99.419,99.419,0
"240","ASV_0390","Clupea pallasii",99.419,99.419,0
"241","ASV_0391","Leptocottus armatus",99.412,99.412,0
"242","ASV_0394","Cymatogaster aggregata",99.405,99.405,0
"243","ASV_0395","Pholis laeta",99.405,99.405,0
"244","ASV_0397","Lumpenus sagitta",99.408,99.408,0
"245","ASV_0399","Oncorhynchus keta",99.408,99.408,0
"246","ASV_0405","Oncorhynchus gorbuscha",99.412,99.412,0
"247","ASV_0406","Gasterosteus aculeatus",99.408,99.408,0
"248","ASV_0408","Cymatogaster aggregata",99.405,99.405,0
"249","ASV_0409","Pholis laeta",99.405,99.405,0
"250","ASV_0411","Sebastes flavidus",98.214,98.214,0
"251","ASV_0412","Blepsias cirrhosus",98.817,98.817,0
"252","ASV_0414","Cymatogaster aggregata",99.405,99.405,0
"253","ASV_0415","Leptocottus armatus",99.412,99.412,0
"254","ASV_0416","Oncorhynchus gorbuscha",98.824,98.824,0
"255","ASV_0417","Pholis laeta",99.405,99.405,0
"256","ASV_0419","Clupea pallasii",99.419,99.419,0
"257","ASV_0420","Lepidopsetta bilineata",98.225,98.225,0
"258","ASV_0422","Lumpenus sagitta",99.408,99.408,0
"259","ASV_0423","Clupea pallasii",99.419,99.419,0
"260","ASV_0425","Pholis laeta",99.405,99.405,0
"261","ASV_0426","Oncorhynchus gorbuscha",99.412,99.412,0
"262","ASV_0428","Oncorhynchus kisutch",99.412,99.412,0
"263","ASV_0429","Ammodytes personatus",100,100,0
"264","ASV_0430","Oncorhynchus gorbuscha",99.412,99.412,0
"265","ASV_0431","Lepidopsetta bilineata",98.225,98.225,0
"266","ASV_0432","Clupea pallasii",99.419,99.419,0
"267","ASV_0435","Gasterosteus aculeatus",98.817,98.817,0
"268","ASV_0436","Cymatogaster aggregata",99.405,99.405,0
"269","ASV_0437","Ammodytes personatus",99.408,99.408,0
"270","ASV_0440","Clupea pallasii",98.837,98.837,0
"271","ASV_0442","Cymatogaster aggregata",99.405,99.405,0
"272","ASV_0443","Oncorhynchus gorbuscha",99.412,99.412,0
"273","ASV_0445","Oncorhynchus tshawytscha",99.412,99.412,0
"274","ASV_0446","Clupea pallasii",99.419,99.419,0
"275","ASV_0447","Cymatogaster aggregata",99.405,99.405,0
"276","ASV_0448","Clupea pallasii",99.419,99.419,0
"277","ASV_0453","Syngnathus leptorhynchus",99.401,99.401,0
"278","ASV_0455","Clupea pallasii",98.837,98.837,0
"279","ASV_0457","Gasterosteus aculeatus",99.408,99.408,0
"280","ASV_0458","Leptocottus armatus",99.412,99.412,0
"281","ASV_0461","Pholis laeta",99.405,99.405,0
"282","ASV_0463","Leptocottus armatus",99.412,99.412,0
"283","ASV_0465","Oncorhynchus keta",99.408,99.408,0
"284","ASV_0466","Clupea pallasii",99.419,99.419,0
"285","ASV_0468","Oncorhynchus keta",98.817,98.817,0
"286","ASV_0469","Pholis laeta",99.405,99.405,0
"287","ASV_0470","Lepidopsetta bilineata",98.225,98.225,0
"288","ASV_0472","Leptocottus armatus",99.412,99.412,0
"289","ASV_0474","Cymatogaster aggregata",99.405,99.405,0
"290","ASV_0475","Leptocottus armatus",99.412,99.412,0
"291","ASV_0476","Clupea pallasii",99.419,99.419,0
"292","ASV_0481","Cymatogaster aggregata",99.405,99.405,0
"293","ASV_0482","Oncorhynchus gorbuscha",99.412,99.412,0
"294","ASV_0484","Syngnathus leptorhynchus",99.401,99.401,0
"295","ASV_0485","Oncorhynchus gorbuscha",99.412,99.412,0
"296","ASV_0486","Cymatogaster aggregata",99.405,99.405,0
"297","ASV_0487","Syngnathus leptorhynchus",99.401,99.401,0
"298","ASV_0488","Cymatogaster aggregata",99.405,99.405,0
"299","ASV_0490","Oncorhynchus keta",99.408,99.408,0
"300","ASV_0493","Hexagrammos stelleri",99.412,99.412,0
"301","ASV_0495","Gasterosteus aculeatus",99.408,99.408,0
"302","ASV_0496","Lepidopsetta bilineata",98.225,98.225,0
"303","ASV_0497","Clupea pallasii",98.837,98.837,0
"304","ASV_0499","Oncorhynchus keta",98.824,98.824,0
"305","ASV_0499","Oncorhynchus nerka",98.824,98.824,0
"306","ASV_0500","Oncorhynchus gorbuscha",99.412,99.412,0
"307","ASV_0502","Gasterosteus aculeatus",99.408,99.408,0
"308","ASV_0504","Oncorhynchus keta",98.817,98.817,0
"309","ASV_0507","Hexagrammos stelleri",99.412,99.412,0
"310","ASV_0508","Hexagrammos stelleri",99.412,99.412,0
"311","ASV_0510","Clupea pallasii",98.837,98.837,0
"312","ASV_0511","Clupea pallasii",98.837,98.837,0
"313","ASV_0513","Clupea pallasii",99.419,99.419,0
"314","ASV_0515","Hexagrammos stelleri",99.412,99.412,0
"315","ASV_0516","Oncorhynchus kisutch",99.412,99.412,0
"316","ASV_0517","Cymatogaster aggregata",99.405,99.405,0
"317","ASV_0518","Cymatogaster aggregata",99.405,99.405,0
"318","ASV_0520","Oncorhynchus gorbuscha",99.412,99.412,0
"319","ASV_0522","Hexagrammos stelleri",99.412,99.412,0
"320","ASV_0525","Oncorhynchus gorbuscha",99.412,99.412,0
"321","ASV_0529","Pholis laeta",99.405,99.405,0
"322","ASV_0531","Leptocottus armatus",99.412,99.412,0
"323","ASV_0533","Ophiodon elongatus",99.408,99.408,0
"324","ASV_0535","Lumpenus sagitta",99.408,99.408,0
"325","ASV_0537","Oncorhynchus kisutch",99.412,99.412,0
"326","ASV_0539","Clupea pallasii",99.419,99.419,0
"327","ASV_0540","Gasterosteus aculeatus",99.408,99.408,0
"328","ASV_0541","Clupea pallasii",99.419,99.419,0
"329","ASV_0542","Gasterosteus aculeatus",99.408,99.408,0
"330","ASV_0543","Pholis laeta",99.405,99.405,0
"331","ASV_0545","Clupea pallasii",99.419,99.419,0
"332","ASV_0546","Lumpenus sagitta",99.398,99.398,0
"333","ASV_0548","Clupea pallasii",99.412,99.412,0
"334","ASV_0549","Oncorhynchus gorbuscha",99.412,99.412,0
"335","ASV_0550","Gasterosteus aculeatus",99.408,99.408,0
"336","ASV_0552","Pholis laeta",99.405,99.405,0
"337","ASV_0553","Pholis laeta",99.405,99.405,0
"338","ASV_0554","Lepidopsetta bilineata",98.225,98.225,0
"339","ASV_0559","Oncorhynchus kisutch",99.412,99.412,0
"340","ASV_0560","Gasterosteus aculeatus",99.408,99.408,0
"341","ASV_0562","Oncorhynchus gorbuscha",99.412,99.412,0
"342","ASV_0563","Pholis laeta",99.405,99.405,0
"343","ASV_0565","Cymatogaster aggregata",99.405,99.405,0
"344","ASV_0566","Cymatogaster aggregata",98.81,98.81,0
"345","ASV_0568","Clupea pallasii",99.419,99.419,0
"346","ASV_0569","Gasterosteus aculeatus",99.408,99.408,0
"347","ASV_0571","Leptocottus armatus",98.235,98.235,0
"348","ASV_0572","Leptocottus armatus",99.412,99.412,0
"349","ASV_0573","Cymatogaster aggregata",98.81,98.81,0
"350","ASV_0574","Oncorhynchus keta",99.408,99.408,0
"351","ASV_0575","Ammodytes personatus",99.408,99.408,0
"352","ASV_0576","Clupea pallasii",98.837,98.837,0
"353","ASV_0577","Clupea pallasii",98.837,98.837,0
"354","ASV_0579","Clupea pallasii",99.419,99.419,0
"355","ASV_0581","Clupea pallasii",98.256,98.256,0
"356","ASV_0585","Oncorhynchus gorbuscha",98.235,98.235,0
"357","ASV_0586","Pholis laeta",99.405,99.405,0
"358","ASV_0588","Gasterosteus aculeatus",99.408,99.408,0
"359","ASV_0590","Pholis laeta",99.405,99.405,0
"360","ASV_0592","Pholis laeta",99.405,99.405,0
"361","ASV_0595","Gasterosteus aculeatus",99.408,99.408,0
"362","ASV_0598","Sebastes caurinus",98.81,98.81,0
"363","ASV_0599","Leptocottus armatus",99.412,99.412,0
"364","ASV_0602","Clupea pallasii",99.419,99.419,0
"365","ASV_0603","Clupea pallasii",99.419,99.419,0
"366","ASV_0604","Pholis laeta",99.405,99.405,0
"367","ASV_0605","Gasterosteus aculeatus",98.817,98.817,0
"368","ASV_0606","Lumpenus sagitta",99.408,99.408,0
"369","ASV_0611","Oncorhynchus gorbuscha",98.235,98.235,0
"370","ASV_0613","Oncorhynchus kisutch",99.412,99.412,0
"371","ASV_0614","Oncorhynchus gorbuscha",99.412,99.412,0
"372","ASV_0620","Oncorhynchus gorbuscha",98.824,98.824,0
"373","ASV_0622","Lepidopsetta bilineata",98.802,98.802,0
"374","ASV_0623","Lepidopsetta bilineata",98.225,98.225,0
"375","ASV_0628","Pholis laeta",99.394,99.394,0
"376","ASV_0629","Oncorhynchus keta",98.817,98.817,0
"377","ASV_0635","Clupea pallasii",98.837,98.837,0
"378","ASV_0639","Gasterosteus aculeatus",99.401,99.401,0
"379","ASV_0642","Gadus macrocephalus",98.824,98.824,0
"380","ASV_0651","Syngnathus leptorhynchus",99.401,99.401,0
"381","ASV_0667","Ophiodon elongatus",99.408,99.408,0
"382","ASV_0673","Ammodytes personatus",99.408,99.408,0
"383","ASV_0684","Pholis laeta",99.405,99.405,0
"384","ASV_0685","Clupea pallasii",98.837,98.837,0
"385","ASV_0688","Gasterosteus aculeatus",99.401,99.401,0
"386","ASV_0699","Clupea pallasii",98.837,98.837,0
"387","ASV_0703","Gasterosteus aculeatus",99.408,99.408,0
"388","ASV_0715","Cymatogaster aggregata",99.405,99.405,0
"389","ASV_0735","Oncorhynchus kisutch",98.824,98.824,0
"390","ASV_0740","Gadus macrocephalus",98.817,98.817,0
"391","ASV_0761","Gasterosteus aculeatus",98.817,98.817,0
"392","ASV_0788","Clupea pallasii",98.837,98.837,0
"393","ASV_0810","Oncorhynchus nerka",98.824,98.824,0
"394","ASV_0826","Oncorhynchus gorbuscha",98.824,98.824,0
"395","ASV_0830","Blepsias cirrhosus",98.204,98.204,0
"396","ASV_0865","Oncorhynchus tshawytscha",98.824,98.824,0
"397","ASV_0868","Ammodytes personatus",98.817,98.817,0
"398","ASV_0083","Oncorhynchus keta",99.408,99.412,0.00400000000000489
"399","ASV_0251","Oncorhynchus keta",99.408,99.412,0.00400000000000489
"400","ASV_0622","Limanda aspera",98.795,98.802,0.007000000000005
"401","ASV_0735","Oncorhynchus keta",98.817,98.824,0.007000000000005
"402","ASV_0053","Hexagrammos stelleri",98.81,98.824,0.0139999999999958
"403","ASV_0038","Limanda aspera",98.795,98.817,0.0219999999999914
"404","ASV_0155","Lepidopsetta bilineata",98.795,98.817,0.0219999999999914
"405","ASV_0175","Limanda aspera",98.795,98.817,0.0219999999999914
"406","ASV_0420","Limanda aspera",98.193,98.225,0.0319999999999965
"407","ASV_0431","Limanda aspera",98.193,98.225,0.0319999999999965
"408","ASV_0470","Limanda aspera",98.193,98.225,0.0319999999999965
"409","ASV_0496","Limanda aspera",98.193,98.225,0.0319999999999965
"410","ASV_0554","Limanda aspera",98.193,98.225,0.0319999999999965
"411","ASV_0623","Limanda aspera",98.193,98.225,0.0319999999999965
