"","extraction_ID","seq_date","alternative_ID","collection_year","collection_month","collection_day","location1","location2","location3","longitude","latitude","sample_type","collected_by","extraction_by","extraction_date"
"109","e00325",20240701,"2021_MOIR_A_4",2021,6,22,"Moira sound eel",NA,NA,NA,NA,"field_blank","LKD","LKD","2021_11_18"
"112","e00326",20240701,"2021_MOIR_B_1",2021,6,23,"Moira sound kelp",NA,NA,NA,NA,"sample","LKD","LKD","2021_11_18"
"115","e00327",20240701,"2021_MOIR_B_2",2021,6,23,"Moira sound kelp",NA,NA,NA,NA,"sample","LKD","LKD","2021_11_18"
"118","e00328",20240701,"2021_MOIR_B_3",2021,6,23,"Moira sound kelp",NA,NA,NA,NA,"sample","LKD","LKD","2021_11_18"
"121","e00329",20240701,"2021_MOIR_B_4",2021,6,23,"Moira sound kelp",NA,NA,NA,NA,"field_blank","LKD","LKD","2021_11_18"
"124","e00330",20240701,"2021_NICH_A_1",2021,6,26,"Nichols bay eel",NA,NA,NA,NA,"sample","LKD","LKD","2021_11_18"
"127","e00331",20240701,"2021_NICH_A_2",2021,6,26,"Nichols bay eel",NA,NA,NA,NA,"sample","LKD","LKD","2021_11_18"
"130","e00332",20240701,"2021_NICH_A_3",2021,6,26,"Nichols bay eel",NA,NA,NA,NA,"sample","LKD","LKD","2021_11_18"
"133","e00333",20240701,"2021_NICH_A_4",2021,6,26,"Nichols bay eel",NA,NA,NA,NA,"field_blank","LKD","LKD","2021_11_18"
"136","e00334",20240701,"2021_NICH_B_1",2021,6,25,"Nichols bay kelp",NA,NA,NA,NA,"sample","LKD","LKD","2021_11_18"
"139","e00335",20240701,"2021_NICH_B_2",2021,6,25,"Nichols bay kelp",NA,NA,NA,NA,"sample","LKD","LKD","2021_11_18"
"142","e00336",20240701,"extraction_blank",2021,NA,NA,NA,NA,NA,NA,NA,"extraction_blank","LKD","LKD","2021_11_18"
"145","e00337",20240701,"2021_NICH_B_3",2021,6,25,"Nichols bay kelp",NA,NA,NA,NA,"sample","LKD","LKD","2021_11_22"
"148","e00338",20240701,"2021_NICH_B_4",2021,6,25,"Nichols bay kelp",NA,NA,NA,NA,"field_blank","LKD","LKD","2021_11_22"
"151","e00339",20240701,"2021_TAHB_A_1",2021,6,27,"Tah bay eel",NA,NA,NA,NA,"sample","LKD","LKD","2021_11_22"
"154","e00340",20240701,"2021_TAHB_A_2",2021,6,27,"Tah bay eel",NA,NA,NA,NA,"sample","LKD","LKD","2021_11_22"
"157","e00341",20240701,"2021_TAHB_A_3",2021,6,27,"Tah bay eel",NA,NA,NA,NA,"sample","LKD","LKD","2021_11_22"
"160","e00342",20240701,"2021_TAHB_A_4",2021,6,27,"Tah bay eel",NA,NA,NA,NA,"field_blank","LKD","LKD","2021_11_22"
"163","e00343",20240701,"2021_HUNT_A_1",2021,6,28,"Hunter bay eel",NA,NA,NA,NA,"sample","LKD","LKD","2021_11_22"
"166","e00344",20240701,"2021_HUNT_A_2",2021,6,28,"Hunter bay eel",NA,NA,NA,NA,"sample","LKD","LKD","2021_11_22"
"169","e00345",20240701,"2021_HUNT_A_3",2021,6,28,"Hunter bay eel",NA,NA,NA,NA,"sample","LKD","LKD","2021_11_22"
"172","e00346",20240701,"2021_HUNT_A_4",2021,6,28,"Hunter bay eel",NA,NA,NA,NA,"field_blank","LKD","LKD","2021_11_22"
"175","e00347",20240701,"2021_KLWA_A_1",2021,8,6,"Klawock airport eel",NA,NA,NA,NA,"sample","LKD","LKD","2021_11_22"
"178","e00348",20240701,"2021_KLWA_A_2",2021,8,6,"Klawock airport eel",NA,NA,NA,NA,"sample","LKD","LKD","2021_11_22"
"181","e00349",20240701,"2021_KLWA_A_3",2021,8,6,"Klawock airport eel",NA,NA,NA,NA,"sample","LKD","LKD","2021_11_22"
"184","e00350",20240701,"2021_KLWA_A_4",2021,8,6,"Klawock airport eel",NA,NA,NA,NA,"field_blank","LKD","LKD","2021_11_22"
"187","e00351",20240701,"2021_BTRB_A_1",2021,8,7,"Big Tree bay eel",NA,NA,NA,NA,"sample","LKD","LKD","2021_11_22"
"190","e00352",20240701,"2021_BTRB_A_2",2021,8,7,"Big Tree bay eel",NA,NA,NA,NA,"sample","LKD","LKD","2021_11_22"
"193","e00353",20240701,"2021_BTRB_A_3",2021,8,7,"Big Tree bay eel",NA,NA,NA,NA,"sample","LKD","LKD","2021_11_22"
"196","e00354",20240701,"2021_BTRB_A_4",2021,8,7,"Big Tree bay eel",NA,NA,NA,NA,"field_blank","LKD","LKD","2021_11_22"
"199","e00355",20240701,"2021_CLAM_A_1",2021,8,8,"Clam island mixed",NA,NA,NA,NA,"sample","LKD","LKD","2021_11_22"
"202","e00356",20240701,"2021_CLAM_A_2",2021,8,8,"Clam island mixed",NA,NA,NA,NA,"sample","LKD","LKD","2021_11_22"
"205","e00357",20240701,"2021_CLAM_A_3",2021,8,8,"Clam island mixed",NA,NA,NA,NA,"sample","LKD","LKD","2021_11_22"
"208","e00358",20240701,"2021_CLAM_A_4",2021,8,8,"Clam island mixed",NA,NA,NA,NA,"field_blank","LKD","LKD","2021_11_22"
"211","e00359",20240701,"2021_NFEI_B_1",2021,8,9,"Cole island mixed",NA,NA,NA,NA,"sample","LKD","LKD","2021_11_22"
"214","e00360",20240701,"extraction_blank",2021,NA,NA,NA,NA,NA,NA,NA,"extraction_blank","LKD","LKD","2021_11_22"
"217","e00361",20240701,"2021_NFEI_B_2",2021,8,9,"Cole island mixed",NA,NA,NA,NA,"sample","LKD","LKD","2021_11_22"
"220","e00362",20240701,"2021_NFEI_B_3",2021,8,9,"Cole island mixed",NA,NA,NA,NA,"sample","LKD","LKD","2021_11_22"
"223","e00363",20240701,"2021_NFEI_B_4",2021,8,9,"Cole island mixed",NA,NA,NA,NA,"field_blank","LKD","LKD","2021_11_22"
"226","e00364",20240701,"2021_BOST_A_1",2021,8,12,"Bostwick inlet eel",NA,NA,NA,NA,"sample","LKD","LKD","2021_11_22"
"229","e00365",20240701,"2021_BOST_A_2",2021,8,12,"Bostwick inlet eel",NA,NA,NA,NA,"sample","LKD","LKD","2021_11_22"
"232","e00366",20240701,"2021_BOST_A_3",2021,8,12,"Bostwick inlet eel",NA,NA,NA,NA,"sample","LKD","LKD","2021_11_22"
"235","e00367",20240701,"2021_BOST_A_4",2021,8,12,"Bostwick inlet eel",NA,NA,NA,NA,"field_blank","LKD","LKD","2021_11_22"
"238","e00368",20240701,"2021_BOST_B_1",2021,8,11,"Bostwick inlet kelp",NA,NA,NA,NA,"sample","LKD","LKD","2021_11_22"
"241","e00369",20240701,"2021_BOST_B_2",2021,8,11,"Bostwick inlet kelp",NA,NA,NA,NA,"sample","LKD","LKD","2021_11_22"
"244","e00370",20240701,"2021_BOST_B_3",2021,8,11,"Bostwick inlet kelp",NA,NA,NA,NA,"sample","LKD","LKD","2021_11_22"
"247","e00371",20240701,"2021_BOST_B_4",2021,8,11,"Bostwick inlet kelp",NA,NA,NA,NA,"field_blank","LKD","LKD","2021_11_22"
"250","e00372",20240701,"extraction_blank",NA,NA,NA,NA,NA,NA,NA,NA,"extraction_blank","LKD","LKD","2021_11_22"
"253","e03265",20240701,"2022_ILDE_A_1",2022,6,26,"Pt. Ildefonso","mixed","Prince of Wales Island",-133.26463,55.576984,"sample","Jessica Whitney","JMW","2024_01_31"
"256","e03266",20240701,"2022_ILDE_A_2",2022,6,26,"Pt. Ildefonso","mixed","Prince of Wales Island",-133.264388,55.577072,"sample","Jessica Whitney","JMW","2024_01_31"
"259","e03267",20240701,"2022_ILDE_A_3",2022,6,26,"Pt. Ildefonso","mixed","Prince of Wales Island",-133.263904,55.577056,"sample","Jessica Whitney","JMW","2024_01_31"
"262","e03268",20240701,"2022_ILDE_A_4",2022,6,26,"Pt. Ildefonso","mixed","Prince of Wales Island",NA,NA,"field_blank","Jessica Whitney","JMW","2024_01_31"
"265","e03269",20240701,"2022_CLAM_A_1",2022,6,27,"Clam Island","mixed","Prince of Wales Island",-133.158826,55.518265,"sample","Jessica Whitney","JMW","2024_01_31"
"268","e03270",20240701,"2022_CLAM_A_2",2022,6,27,"Clam Island","mixed","Prince of Wales Island",-133.158509,55.518193,"sample","Jessica Whitney","JMW","2024_01_31"
"271","e03271",20240701,"2022_CLAM_A_3",2022,6,27,"Clam Island","mixed","Prince of Wales Island",-133.158195,55.518027,"sample","Jessica Whitney","JMW","2024_01_31"
"274","e03272",20240701,"2022_CLAM_A_4",2022,6,27,"Clam Island","mixed","Prince of Wales Island",NA,NA,"field_blank","Jessica Whitney","JMW","2024_01_31"
"277","e03273",20240701,"2022_ROSA_A_1",2022,6,28,"Rosary Island","eelgrass","Prince of Wales Island",-133.294616,55.577276,"sample","Jessica Whitney","JMW","2024_01_31"
"280","e03274",20240701,"2022_ROSA_A_2",2022,6,28,"Rosary Island","eelgrass","Prince of Wales Island",-133.294975,55.577046,"sample","Jessica Whitney","JMW","2024_01_31"
"283","e03275",20240701,"2022_ROSA_A_3",2022,6,28,"Rosary Island","eelgrass","Prince of Wales Island",-133.295362,55.57689,"sample","Jessica Whitney","JMW","2024_01_31"
"286","e03276",20240701,"2022_ROSA_A_4",2022,6,28,"Rosary Island","eelgrass","Prince of Wales Island",NA,NA,"field_blank","Jessica Whitney","JMW","2024_01_31"
"289","e03277",20240701,"2022_TRIS_A_1",2022,6,29,"Triste Pt","eelgrass","Prince of Wales Island",-133.496163,55.418493,"sample","Jessica Whitney","JMW","2024_01_31"
"292","e03278",20240701,"2022_TRIS_A_2",2022,6,29,"Triste Pt","eelgrass","Prince of Wales Island",-133.49597,55.418368,"sample","Jessica Whitney","JMW","2024_01_31"
"295","e03279",20240701,"2022_TRIS_A_3",2022,6,29,"Triste Pt","eelgrass","Prince of Wales Island",-133.49585,55.418271,"sample","Jessica Whitney","JMW","2024_01_31"
"298","e03280",20240701,"2022_TRIS_A_4",2022,6,29,"Triste Pt","eelgrass","Prince of Wales Island",NA,NA,"field_blank","Jessica Whitney","JMW","2024_01_31"
"301","e03281",20240701,"2022_SARI_A_1",2022,6,30,"Santa Rita","mixed","Prince of Wales Island",-133.453949,55.418721,"sample","Jessica Whitney","JMW","2024_01_31"
"304","e03282",20240701,"2022_SARI_A_2",2022,6,30,"Santa Rita","mixed","Prince of Wales Island",-133.45424,55.418589,"sample","Jessica Whitney","JMW","2024_01_31"
"307","e03283",20240701,"2022_SARI_A_3",2022,6,30,"Santa Rita","mixed","Prince of Wales Island",-133.454419,55.418368,"sample","Jessica Whitney","JMW","2024_01_31"
"310","e03284",20240701,"2022_SARI_A_4",2022,6,30,"Santa Rita","mixed","Prince of Wales Island",NA,NA,"field_blank","Jessica Whitney","JMW","2024_01_31"
"313","e03285",20240701,"2022_HARM_A_1",2022,7,1,"Harmony Island","mixed","Prince of Wales Island",-133.405762,55.719473,"sample","Jessica Whitney","JMW","2024_01_31"
"316","e03286",20240701,"2022_HARM_A_2",2022,7,1,"Harmony Island","mixed","Prince of Wales Island",-133.405709,55.719394,"sample","Jessica Whitney","JMW","2024_01_31"
"319","e03287",20240701,"2022_HARM_A_3",2022,7,1,"Harmony Island","mixed","Prince of Wales Island",-133.405962,55.719257,"sample","Jessica Whitney","JMW","2024_01_31"
"322","e03288",20240701,"2022_HARM_A_4",2022,7,1,"Harmony Island","mixed","Prince of Wales Island",NA,NA,"field_blank","Jessica Whitney","JMW","2024_01_31"
"325","e03289",20240701,"2022_BLAQ_A_1",2022,7,2,"Blanquizal Point","mixed","Prince of Wales Island",-133.387584,55.62103,"sample","Jessica Whitney","JMW","2024_01_31"
"328","e03290",20240701,"2022_BLAQ_A_2",2022,7,2,"Blanquizal Point","mixed","Prince of Wales Island",-133.386736,55.620924,"sample","Jessica Whitney","JMW","2024_01_31"
"331","e03291",20240701,"2022_BLAQ_A_3",2022,7,2,"Blanquizal Point","mixed","Prince of Wales Island",-133.386497,55.621235,"sample","Jessica Whitney","JMW","2024_01_31"
"334","e03292",20240701,"2022_BLAQ_A_4",2022,7,2,"Blanquizal Point","mixed","Prince of Wales Island",NA,NA,"field_blank","Jessica Whitney","JMW","2024_01_31"
"337","e03293",20240701,"2022_NSTP_A_1",2022,7,3,"North St. Phillips","mixed","Prince of Wales Island",-133.404978,55.66603,"sample","Jessica Whitney","JMW","2024_01_31"
"340","e03294",20240701,"2022_NSTP_A_2",2022,7,3,"North St. Phillips","mixed","Prince of Wales Island",-133.404676,55.66576,"sample","Jessica Whitney","JMW","2024_01_31"
"343","e03295",20240701,"2022_NSTP_A_3",2022,7,3,"North St. Phillips","mixed","Prince of Wales Island",-133.40493,55.665754,"sample","Jessica Whitney","JMW","2024_01_31"
"346","e03296",20240701,"2022_NSTP_A_4",2022,7,3,"North St. Phillips","mixed","Prince of Wales Island",NA,NA,"field_blank","Jessica Whitney","JMW","2024_01_31"
"349","e03297",20240701,"2022_ABES_A_1",2022,7,18,"Abbess Island","eelgrass","Prince of Wales Island",-133.17453,55.554739,"sample","Jessica Whitney","JMW","2024_01_31"
"352","e03298",20240701,"2022_ABES_A_2",2022,7,18,"Abbess Island","eelgrass","Prince of Wales Island",-133.174355,55.554811,"sample","Jessica Whitney","JMW","2024_01_31"
"355","e03299",20240701,"2022_ABES_A_3",2022,7,18,"Abbess Island","eelgrass","Prince of Wales Island",-133.174047,55.554804,"sample","Jessica Whitney","JMW","2024_01_31"
"358","e03300",20240701,"2022_ABES_A_4",2022,7,18,"Abbess Island","eelgrass","Prince of Wales Island",NA,NA,"field_blank","Jessica Whitney","JMW","2024_01_31"
"361","e03301",20240701,"2022_SHIN_A_1",2022,7,14,"Shinaku Inlet","eelgrass","Prince of Wales Island",-133.164052,55.597165,"sample","Jessica Whitney","JMW","2024_01_31"
"364","e03302",20240701,"2022_SHIN_A_2",2022,7,14,"Shinaku Inlet","eelgrass","Prince of Wales Island",-133.164225,55.597051,"sample","Jessica Whitney","JMW","2024_01_31"
"367","e03303",20240701,"2022_SHIN_A_3",2022,7,14,"Shinaku Inlet","eelgrass","Prince of Wales Island",-133.163842,55.597226,"sample","Jessica Whitney","JMW","2024_01_31"
"370","e03304",20240701,"2022_SHIN_A_4",2022,7,14,"Shinaku Inlet","eelgrass","Prince of Wales Island",NA,NA,"field_blank","Jessica Whitney","JMW","2024_01_31"
"373","e03305",20240701,"2022_NATZ_A_1",2022,7,16,"Natzuhini","eelgrass","Prince of Wales Island",-132.87865,55.247605,"sample","Jessica Whitney","JMW","2024_01_31"
"376","e03306",20240701,"2022_NATZ_A_2",2022,7,16,"Natzuhini","eelgrass","Prince of Wales Island",-132.87858,55.247579,"sample","Jessica Whitney","JMW","2024_01_31"
"379","e03307",20240701,"2022_NATZ_A_3",2022,7,16,"Natzuhini","eelgrass","Prince of Wales Island",-132.878416,55.247568,"sample","Jessica Whitney","JMW","2024_01_31"
"382","e03308",20240701,"2022_NATZ_A_4",2022,7,16,"Natzuhini","eelgrass","Prince of Wales Island",NA,NA,"field_blank","Jessica Whitney","JMW","2024_01_31"
"385","e03309",20240701,"2022_NOSK_A_1",2022,7,13,"Nossuk Bay","eelgrass","Prince of Wales Island",-133.340948,55.708783,"sample","Jessica Whitney","JMW","2024_01_31"
"388","e03310",20240701,"2022_NOSK_A_2",2022,7,13,"Nossuk Bay","eelgrass","Prince of Wales Island",-133.340919,55.708814,"sample","Jessica Whitney","JMW","2024_01_31"
"391","e03311",20240701,"2022_NOSK_A_3",2022,7,13,"Nossuk Bay","eelgrass","Prince of Wales Island",-133.34083,55.708953,"sample","Jessica Whitney","JMW","2024_01_31"
"394","e03312",20240701,"2022_NOSK_A_4",2022,7,13,"Nossuk Bay","eelgrass","Prince of Wales Island",NA,NA,"field_blank","Jessica Whitney","JMW","2024_01_31"
"397","e03313",20240701,"2022_REFU_A_1",2022,7,15,"Port Refugio","eelgrass","Prince of Wales Island",-133.332695,55.284355,"sample","Jessica Whitney","JMW","2024_01_31"
"400","e03314",20240701,"2022_REFU_A_2",2022,7,15,"Port Refugio","eelgrass","Prince of Wales Island",-133.332688,55.28437,"sample","Jessica Whitney","JMW","2024_01_31"
"403","e03315",20240701,"2022_REFU_A_3",2022,7,15,"Port Refugio","eelgrass","Prince of Wales Island",-133.332443,55.284462,"sample","Jessica Whitney","JMW","2024_01_31"
"406","e03316",20240701,"2022_REFU_A_4",2022,7,15,"Port Refugio","eelgrass","Prince of Wales Island",NA,NA,"field_blank","Jessica Whitney","JMW","2024_01_31"
"409","e03317",20240701,"2022_SFEI_A_1",2022,7,11,"South Fish Egg Island","mixed","Prince of Wales Island",-133.175817,55.483952,"sample","Jessica Whitney","JMW","2024_01_31"
"412","e03318",20240701,"2022_SFEI_A_2",2022,7,11,"South Fish Egg Island","mixed","Prince of Wales Island",-133.175829,55.484138,"sample","Jessica Whitney","JMW","2024_01_31"
"415","e03319",20240701,"2022_SFEI_A_3",2022,7,11,"South Fish Egg Island","mixed","Prince of Wales Island",-133.175752,55.484266,"sample","Jessica Whitney","JMW","2024_01_31"
"418","e03320",20240701,"2022_SFEI_A_4",2022,7,11,"South Fish Egg Island","mixed","Prince of Wales Island",NA,NA,"field_blank","Jessica Whitney","JMW","2024_01_31"
"421","e03321",20240701,"2022_GUKT_A_1",2022,7,12,"Guktu Bay","eelgrass","Prince of Wales Island",-133.311965,55.740338,"sample","Jessica Whitney","JMW","2024_01_31"
"424","e03322",20240701,"2022_GUKT_A_2",2022,7,12,"Guktu Bay","eelgrass","Prince of Wales Island",-133.31199,55.740311,"sample","Jessica Whitney","JMW","2024_01_31"
"427","e03323",20240701,"2022_GUKT_A_3",2022,7,12,"Guktu Bay","eelgrass","Prince of Wales Island",-133.311913,55.740463,"sample","Jessica Whitney","JMW","2024_01_31"
"430","e03324",20240701,"2022_GUKT_A_4",2022,7,12,"Guktu Bay","eelgrass","Prince of Wales Island",NA,NA,"field_blank","Jessica Whitney","JMW","2024_01_31"
"433","e03325",20240701,"2022_NFEI_A_1",2022,7,17,"North Fish Egg Island","eelgrass","Prince of Wales Island",-133.166886,55.496151,"sample","Jessica Whitney","JMW","2024_01_31"
"436","e03326",20240701,"2022_NFEI_A_2",2022,7,17,"North Fish Egg Island","eelgrass","Prince of Wales Island",-133.167191,55.496325,"sample","Jessica Whitney","JMW","2024_01_31"
"439","e03327",20240701,"2022_NFEI_A_3",2022,7,17,"North Fish Egg Island","eelgrass","Prince of Wales Island",-133.101054,55.291786,"sample","Jessica Whitney","JMW","2024_01_31"
"442","e03328",20240701,"2022_NFEI_A_4",2022,7,17,"North Fish Egg Island","eelgrass","Prince of Wales Island",NA,NA,"field_blank","Jessica Whitney","JMW","2024_01_31"
"445","e03329",20240701,"2022_KLWA_A_1",2022,7,25,"Klawock Airport","eelgrass","Prince of Wales Island",-133.09376,55.576962,"sample","Jessica Whitney","JMW","2024_01_31"
"448","e03330",20240701,"2022_KLWA_A_2",2022,7,25,"Klawock Airport","eelgrass","Prince of Wales Island",-133.093802,55.576958,"sample","Jessica Whitney","JMW","2024_01_31"
"451","e03331",20240701,"2022_KLWA_A_3",2022,7,25,"Klawock Airport","eelgrass","Prince of Wales Island",-133.0941,55.577179,"sample","Jessica Whitney","JMW","2024_01_31"
"454","e03332",20240701,"2022_KLWA_A_4",2022,7,25,"Klawock Airport","eelgrass","Prince of Wales Island",NA,NA,"field_blank","Jessica Whitney","JMW","2024_01_31"
"457","e03333",20240701,"2022_HALI_A_1",2022,7,26,"Halibut Nose","mixed","Prince of Wales Island",-132.969503,55.216572,"sample","Jessica Whitney","JMW","2024_01_31"
"460","e03334",20240701,"2022_HALI_A_2",2022,7,26,"Halibut Nose","mixed","Prince of Wales Island",-132.969439,55.216791,"sample","Jessica Whitney","JMW","2024_01_31"
"463","e03335",20240701,"2022_HALI_A_3",2022,7,26,"Halibut Nose","mixed","Prince of Wales Island",-132.969413,55.217031,"sample","Jessica Whitney","JMW","2024_01_31"
"466","e03336",20240701,"2022_HALI_A_4",2022,7,26,"Halibut Nose","mixed","Prince of Wales Island",NA,NA,"field_blank","Jessica Whitney","JMW","2024_01_31"
"469","e03337",20240701,"2022_KARH_A_1",2022,7,27,"Karheen","mixed","Prince of Wales Island",-133.321813,55.789496,"sample","Jessica Whitney","JMW","2024_01_31"
"472","e03338",20240701,"2022_KARH_A_2",2022,7,27,"Karheen","mixed","Prince of Wales Island",-133.32157,55.789869,"sample","Jessica Whitney","JMW","2024_01_31"
"475","e03339",20240701,"2022_KARH_A_3",2022,7,27,"Karheen","mixed","Prince of Wales Island",-133.321314,55.789982,"sample","Jessica Whitney","JMW","2024_01_31"
"478","e03340",20240701,"2022_KARH_A_4",2022,7,27,"Karheen","mixed","Prince of Wales Island",NA,NA,"field_blank","Jessica Whitney","JMW","2024_01_31"
"481","e03341",20240701,"blank1",NA,NA,NA,NA,NA,NA,NA,NA,"extraction_blank","","JMW","2024_01_31"
"484","e03342",20240701,"blank2",NA,NA,NA,NA,NA,NA,NA,NA,"extraction_blank","","JMW","2024_01_31"
"487","e03343",20240701,"blank3",NA,NA,NA,NA,NA,NA,NA,NA,"extraction_blank","","JMW","2024_01_31"
"490","e03344",20240701,"blank4",NA,NA,NA,NA,NA,NA,NA,NA,"extraction_blank","","JMW","2024_01_31"
"493","e03345",20240701,"blank5",NA,NA,NA,NA,NA,NA,NA,NA,"extraction_blank","","JMW","2024_01_31"
"496","e03346",20240701,"blank6",NA,NA,NA,NA,NA,NA,NA,NA,"extraction_blank","","JMW","2024_01_31"
"499","e03347",20240701,"blank7",NA,NA,NA,NA,NA,NA,NA,NA,"extraction_blank","","JMW","2024_01_31"
"502","e03348",20240701,"blank8",NA,NA,NA,NA,NA,NA,NA,NA,"extraction_blank","","JMW","2024_01_31"
"505","e03349",20240701,"blank9",NA,NA,NA,NA,NA,NA,NA,NA,"extraction_blank","","JMW","2024_01_31"
"508","e03350",20240701,"blank10",NA,NA,NA,NA,NA,NA,NA,NA,"extraction_blank","","JMW","2024_01_31"
"511","NC21-1",20240701,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pcr_blank",NA,NA,NA
"514","NC21-2",20240701,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pcr_blank",NA,NA,NA
"517","NC21-3",20240701,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pcr_blank",NA,NA,NA
"520","NC21-4",20240701,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pcr_blank",NA,NA,NA
